5. Èþíü 2011 | 13:56:37 | - TankMode = 1
5. Èþíü 2011 | 13:56:37 | - WarnPlayers = 0
5. Èþíü 2011 | 13:56:37 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 13:56:37 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 13:56:37 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 13:56:37 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 13:56:37 | 8 bad words have been loaded.
5. Èþíü 2011 | 13:56:37 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 13:56:37 | JunkBuster has been configurated.
5. Èþíü 2011 | 13:56:37 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 14:04:45 | Current JunkBuster configuration:
5. Èþíü 2011 | 14:04:45 | - WeaponHack = 1
5. Èþíü 2011 | 14:04:45 | - MoneyHack = 1
5. Èþíü 2011 | 14:04:45 | - Jetpack = 1
5. Èþíü 2011 | 14:04:45 | - HealthHack = 0
5. Èþíü 2011 | 14:04:45 | - ArmourHack = 0
5. Èþíü 2011 | 14:04:45 | - DriveBy = 1
5. Èþíü 2011 | 14:04:45 | - Spam = 1
5. Èþíü 2011 | 14:04:45 | - CommandSpam = 1
5. Èþíü 2011 | 14:04:45 | - BadWords = 1
5. Èþíü 2011 | 14:04:45 | - CarJackHack = 1
5. Èþíü 2011 | 14:04:45 | - TeleportHack = 1
5. Èþíü 2011 | 14:04:45 | - MaxPing = 500
5. Èþíü 2011 | 14:04:45 | - SpectateHack = 1
5. Èþíü 2011 | 14:04:45 | - Blacklist = 1
5. Èþíü 2011 | 14:04:45 | - IpBans = 1
5. Èþíü 2011 | 14:04:45 | - TempBans = 1
5. Èþíü 2011 | 14:04:45 | - SpawnKill = 0
5. Èþíü 2011 | 14:04:45 | - CapsLock = 0
5. Èþíü 2011 | 14:04:45 | - 3DSpeed = 0
5. Èþíü 2011 | 14:04:45 | - MaxSpeed = 0
5. Èþíü 2011 | 14:04:45 | - AdminImmunity = 1
5. Èþíü 2011 | 14:04:45 | - Advertisement = 0
5. Èþíü 2011 | 14:04:45 | - FreezeUpdate = 1
5. Èþíü 2011 | 14:04:45 | - SpawnTime = 10
5. Èþíü 2011 | 14:04:45 | - CheckpointTeleport = 1
5. Èþíü 2011 | 14:04:45 | - Airbreak = 1
5. Èþíü 2011 | 14:04:45 | - TankMode = 1
5. Èþíü 2011 | 14:04:45 | - WarnPlayers = 0
5. Èþíü 2011 | 14:04:45 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 14:04:45 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 14:04:45 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 14:04:45 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 14:04:45 | 8 bad words have been loaded.
5. Èþíü 2011 | 14:04:45 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 14:04:46 | JunkBuster has been configurated.
5. Èþíü 2011 | 14:04:46 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 14:23:53 | Current JunkBuster configuration:
5. Èþíü 2011 | 14:23:53 | - WeaponHack = 1
5. Èþíü 2011 | 14:23:53 | - MoneyHack = 1
5. Èþíü 2011 | 14:23:53 | - Jetpack = 1
5. Èþíü 2011 | 14:23:53 | - HealthHack = 0
5. Èþíü 2011 | 14:23:53 | - ArmourHack = 0
5. Èþíü 2011 | 14:23:53 | - DriveBy = 1
5. Èþíü 2011 | 14:23:53 | - Spam = 1
5. Èþíü 2011 | 14:23:53 | - CommandSpam = 1
5. Èþíü 2011 | 14:23:53 | - BadWords = 1
5. Èþíü 2011 | 14:23:54 | - CarJackHack = 1
5. Èþíü 2011 | 14:23:54 | - TeleportHack = 1
5. Èþíü 2011 | 14:23:54 | - MaxPing = 500
5. Èþíü 2011 | 14:23:54 | - SpectateHack = 1
5. Èþíü 2011 | 14:23:54 | - Blacklist = 1
